Time,Temperature,Photores,Switch,RED,GREEN,BLUE
5,24.79,419,0,0,0,0
10,24.83,419,1,0,0,0
15,24.86,410,1,0,0,0
20,24.87,411,0,0,0,0
25,24.89,411,0,0,0,0
30,24.91,424,0,0,0,0
35,24.92,423,0,0,0,0
40,24.92,413,0,0,0,0
45,24.92,611,0,0,0,0
50,24.94,505,0,0,0,0
55,24.95,511,0,0,0,0
60,24.96,506,0,0,0,0
65,24.97,465,0,0,0,0
70,24.99,463,0,0,0,0
75,24.99,429,0,0,0,0
80,25.07,541,0,0,0,0
85,30.5,479,0,0,0,0
90,31.66,480,0,0,0,0
95,32.11,480,0,0,0,0
100,31.67,699,0,0,0,0
105,31.08,697,0,0,0,0
110,30.6,691,0,0,0,0
115,30.2,489,0,0,0,0
120,29.81,954,0,0,0,0
125,29.51,938,0,0,0,0
130,29.31,932,0,0,0,0
135,29.09,759,0,0,0,0
140,28.88,720,0,0,0,0
145,28.69,853,0,0,0,0
150,28.53,832,1,0,0,0
155,28.39,832,1,0,0,0
160,28.22,836,1,0,0,0
165,28.06,813,1,82,111,128
170,27.89,829,1,82,111,128
175,27.73,682,1,82,111,128
180,27.63,706,1,82,111,128
185,27.52,744,1,82,111,128
190,27.42,678,1,82,111,128
195,27.34,672,1,82,111,128
200,27.23,676,1,82,111,128
205,27.15,660,1,82,111,128
210,27.1,541,1,82,111,128
215,27.04,588,1,82,111,128
220,26.97,680,1,82,111,128
